id_motivo,nome_motivo,categoria,criticidade,hora_da_ingestao,hora_da_ingestao_silver
15,Renegociação de dívida,Financeiro,Média,2025-11-25T18:27:51.104Z,
4,"Alteração de dados cadastrais (vencimento da fatura, telefone, email)",Financeiro,Média,2025-11-25T18:27:51.104Z,
13,Dúvidas gerais sobre programa de pontos,Benefícios,Baixa,2025-11-25T18:27:51.104Z,
8,Consulta de contrato,Financeiro,Média,2025-11-25T18:27:51.104Z,
6,Desbloqueio de cartão,Cartão,Alta,2025-11-25T18:27:51.104Z,
3,Contestação de fatura,Financeiro,Baixa,2025-11-25T18:27:51.104Z,
11,Bloqueio de cartão,Cartão,Alta,2025-11-25T18:27:51.104Z,
7,Compra não autorizada,Cartão,Alta,2025-11-25T18:27:51.104Z,
10,Consulta de fatura,Financeiro,Baixa,2025-11-25T18:27:51.104Z,
9,Problema com aplicativo,Atendimento,Média,2025-11-25T18:27:51.104Z,
14,Transferência de agência,Cadastral,Média,2025-11-25T18:27:51.104Z,
5,Consulta de limite,Financeiro,Baixa,2025-11-25T18:27:51.104Z,
12,Contratação de cartão adicional,Cartão,Média,2025-11-25T18:27:51.104Z,
